Match_id,Team1,Team2,Season,Toss_winner,Toss_decision,Player_of_match,Winner,Players_1,Players_2,Players_3,Players_4,Players_5,Players_6,Players_7,Players_8,Players_9,Players_10,Players_11
461568,5,4,2010,5,101,HM Amla,4,AB de Villiers,JH Kallis,CA Ingram,HM Amla,JP Duminy,DA Miller,JA Morkel,J Botha,M Morkel,J Theron,LL Tsotsobe
461569,5,4,2010,4,100,Younis Khan,5,AB de Villiers,HM Amla,JH Kallis,GC Smith,JP Duminy,CA Ingram,DA Miller,J Botha,M Morkel,WD Parnell,DW Steyn
461570,5,4,2010,4,100,JH Kallis,4,AB de Villiers,GC Smith,JH Kallis,HM Amla,JP Duminy,CA Ingram,J Botha,DW Steyn,LL Tsotsobe,M Morkel,RJ Peterson
463143,4,0,2010,4,100,CA Ingram,4,AB de Villiers,GC Smith,CA Ingram,HM Amla,JA Morkel,DA Miller,JP Duminy,J Botha,WD Parnell,CK Langeveldt,J Theron
463144,4,0,2010,0,100,J Theron,4,T Taibu,CJ Chibhabha,SC Williams,BRM Taylor,GW Flower,CR Ervine,E Chigumbura,KM Dabengwa,P Utseya,AG Cremer,SW Masakadza
463145,4,0,2010,4,100,JP Duminy,4,AB de Villiers,HM Amla,JP Duminy,GC Smith,JA Morkel,DA Miller,CA Ingram,J Botha,LL Tsotsobe,WD Parnell,J Theron
463149,4,1,2010,1,100,RG Sharma,1,Yuvraj Singh,M Vijay,RG Sharma,V Kohli,YK Pathan,SK Raina,MS Dhoni,P Kumar,A Nehra,MM Patel,R Ashwin
463150,4,1,2010,4,100,LL Tsotsobe,4,AB de Villiers,HM Amla,CA Ingram,GC Smith,JP Duminy,DA Miller,J Botha,WD Parnell,DW Steyn,M Morkel,LL Tsotsobe
463151,4,1,2010,1,100,MM Patel,1,Yuvraj Singh,SR Tendulkar,V Kohli,M Vijay,MS Dhoni,SK Raina,RG Sharma,Harbhajan Singh,Z Khan,A Nehra,MM Patel
463152,4,1,2010,4,100,YK Pathan,1,AB de Villiers,HM Amla,CA Ingram,GC Smith,JP Duminy,F du Plessis,J Botha,WD Parnell,DW Steyn,LL Tsotsobe,M Morkel
